"ID_LUID","x","y","Area.1000ha"
1027,-147,61,1011.64
1028,-145,61,1654.29
1029,-143,61,1401.62
1030,-141,61,1221.28
1031,-139,61,1645.57
1032,-137,61,2343.97
1033,-135,61,2352.16
1034,-133,61,2377.39
1035,-131,61,2398.73
1036,-129,61,2365.85
1037,-127,61,2390.79
1038,-125,61,2402.92
1039,-123,61,2398.87
1040,-121,61,2335.6
1041,-119,61,2332.85
1042,-117,61,2094.61
1043,-115,61,1303.87
1044,-113,61,1769.13
1045,-111,61,2266.53
1046,-109,61,2251.18
1047,-107,61,2298.11
1048,-105,61,2185.64
1049,-103,61,2183.74
1050,-101,61,2188.8
1051,-99,61,2148.92
1052,-97,61,2225.03
1053,-95,61,1934.72
1054,-93,61,146.76
1055,-81,61,32.59
1056,-79,61,114.44
1057,-77,61,2078.96
1058,-75,61,2305.51
1059,-73,61,2266.59
1060,-71,61,1376.49
1061,-69,61,237.3
1062,-67,61,41.32
1063,-65,61,221.32
1064,-49,61,430.06
1065,-47,61,291.75
1066,-45,61,706.39
1068,-1,61,84.90449717
1069,5,61,857.5578159
1070,7,61,2100.026637
1071,9,61,2398.84753
1072,11,61,2264.334127
1073,13,61,2394.470725
1074,15,61,2331.43495
1075,17,61,1681.648325
1076,19,61,175.0978861
1077,21,61,481.3068497
1078,23,61,2125.080024
1079,25,61,1925.642744
1080,27,61,1525.584575
1081,29,61,1611.15111
1082,31,61,1048.956006
1083,33,61,1903.189791
1084,35,61,1883.093266
1085,37,61,2139.722473
1086,39,61,2319.355864
1087,41,61,2403.008037
1088,43,61,2402.951173
1089,45,61,2402.941022
1090,47,61,2402.988033
1091,49,61,2403.047726
1092,51,61,2402.988427
1093,53,61,2402.944135
1094,55,61,2403.020122
1095,57,61,2403.033587
1096,59,61,2368.77
1097,61,61,2402.920469
1098,63,61,2402.895458
1099,65,61,2402.87627
1100,67,61,2402.91824
1101,69,61,2390.3
1102,71,61,2403.033465
1103,73,61,2402.997816
1104,75,61,2402.92
1105,77,61,2402.934924
1106,79,61,2402.927771
1107,81,61,2402.991695
1108,83,61,2403.001316
1109,85,61,2403.0514
1110,87,61,2402.96
1111,89,61,2402.99
1112,91,61,2402.95
1113,93,61,2403.01
1114,95,61,2402.94
1115,97,61,2402.91
1116,99,61,2402.97
1117,101,61,2403
1118,103,61,2403.01
1119,105,61,2402.96
1120,107,61,2403.01
1121,109,61,2402.98
1122,111,61,2402.990889
1123,113,61,2402.97
1124,115,61,2402.94
1125,117,61,2402.98
1126,119,61,2402.96
1127,121,61,2402.99
1128,123,61,2402.962081
1129,125,61,2402.99
1130,127,61,2402.97
1131,129,61,2402.92616
1132,131,61,2403.000712
1133,133,61,2402.98
1134,135,61,2402.911796
1135,137,61,2402.92
1136,139,61,2402.99
1137,141,61,2402.92
1138,143,61,2402.96
1139,145,61,2402.98
1140,147,61,2402.95
1141,149,61,2403.01
1142,151,61,2402.96
1143,153,61,2403.05
1144,155,61,1972.65
1145,157,61,609.48
1146,159,61,248.94
1147,161,61,1158.02
1148,163,61,1172.91
1149,165,61,2242.07
1150,167,61,2027.17
1151,169,61,1772.16
1152,171,61,1841.18
1153,173,61,732.59
1154,175,61,81.46
1155,-167,59,56.35
1156,-165,59,34.69
1157,-163,59,121.39
1158,-161,59,1366.77
1159,-159,59,1488.05
1160,-157,59,2157.21
1161,-155,59,2080.4
1162,-153,59,583.94
1163,-151,59,457.6
1164,-149,59,65.01
1165,-147,59,21.67
1166,-141,59,56.35
1167,-139,59,362.21
1168,-137,59,940.45
1169,-135,59,1471.41
1170,-133,59,2213.45
1171,-131,59,2552.8
1172,-129,59,2552.79
1173,-127,59,2552.83
1174,-125,59,2516.65
1175,-123,59,2552.787818
1176,-121,59,2543.99
1177,-119,59,2509.420817
1178,-117,59,2552.749977
1179,-115,59,2539.392248
1180,-113,59,2467.672214
1181,-111,59,2259.638448
1182,-109,59,1999.52
1183,-107,59,2399.34
1184,-105,59,2384.76
1185,-103,59,2317.97
1186,-101,59,2437.89
1187,-99,59,2429.56
1188,-97,59,2490.86
1189,-95,59,1925.72
1190,-93,59,469.08
1191,-79,59,182.66
1192,-77,59,2182.8
1193,-75,59,2438.6
1194,-73,59,2482.07
1195,-71,59,2521.57
1196,-69,59,1212.48
