ID_LUID,x,y,YEAR,share.CrpLnd,share.GrsLnd,share.NatLnd,share.MngFor,share.PriFor,share.OagLnd,share.WetLnd,share.NotRel,share.RstLnd,Area.1000ha
28,-35,83,2050,0,0,0.809035955,0,0,0,0,0.190964045,0,254.76
29,-33,83,2000,0,0,0.768328112,0,0,0,0,0.231671888,0,351.1
29,-33,83,2010,0,0,0.768328112,0,0,0,0,0.231671888,0,351.1
29,-33,83,2020,0,0,0.768328112,0,0,0,0,0.231671888,0,351.1
29,-33,83,2030,0,0,0.768328112,0,0,0,0,0.231671888,0,351.1
29,-33,83,2040,0,0,0.768328112,0,0,0,0,0.231671888,0,351.1
29,-33,83,2050,0,0,0.768328112,0,0,0,0,0.231671888,0,351.1
30,-31,83,2000,0,0,0.759450393,0,0,0,0,0.240549607,0,310.04
30,-31,83,2010,0,0,0.759450393,0,0,0,0,0.240549607,0,310.04
30,-31,83,2020,0,0,0.759450393,0,0,0,0,0.240549607,0,310.04
30,-31,83,2030,0,0,0.759450393,0,0,0,0,0.240549607,0,310.04
30,-31,83,2040,0,0,0.759450393,0,0,0,0,0.240549607,0,310.04
30,-31,83,2050,0,0,0.759450393,0,0,0,0,0.240549607,0,310.04
31,-29,83,2000,0,0,0.821691974,0,0,0,0,0.178308026,0,253.55
31,-29,83,2010,0,0,0.821691974,0,0,0,0,0.178308026,0,253.55
31,-29,83,2020,0,0,0.821691974,0,0,0,0,0.178308026,0,253.55
31,-29,83,2030,0,0,0.821691974,0,0,0,0,0.178308026,0,253.55
31,-29,83,2040,0,0,0.821691974,0,0,0,0,0.178308026,0,253.55
31,-29,83,2050,0,0,0.821691974,0,0,0,0,0.178308026,0,253.55
32,-27,83,2000,0,0,0.711833646,0,0,0,0,0.288166354,0,325.09
32,-27,83,2010,0,0,0.711833646,0,0,0,0,0.288166354,0,325.09
32,-27,83,2020,0,0,0.711833646,0,0,0,0,0.288166354,0,325.09
32,-27,83,2030,0,0,0.711833646,0,0,0,0,0.288166354,0,325.09
32,-27,83,2040,0,0,0.711833646,0,0,0,0,0.288166354,0,325.09
32,-27,83,2050,0,0,0.711833646,0,0,0,0,0.288166354,0,325.09
33,-25,83,2000,0,0,0.759980397,0,0,0,0,0.240019603,0,265.27
33,-25,83,2010,0,0,0.759980397,0,0,0,0,0.240019603,0,265.27
33,-25,83,2020,0,0,0.759980397,0,0,0,0,0.240019603,0,265.27
33,-25,83,2030,0,0,0.759980397,0,0,0,0,0.240019603,0,265.27
33,-25,83,2040,0,0,0.759980397,0,0,0,0,0.240019603,0,265.27
33,-25,83,2050,0,0,0.759980397,0,0,0,0,0.240019603,0,265.27
34,-23,83,2000,0,0,0.672571502,0,0,0,0,0.327428498,0,155.24
34,-23,83,2010,0,0,0.672571502,0,0,0,0,0.327428498,0,155.24
34,-23,83,2020,0,0,0.672571502,0,0,0,0,0.327428498,0,155.24
34,-23,83,2030,0,0,0.672571502,0,0,0,0,0.327428498,0,155.24
34,-23,83,2040,0,0,0.672571502,0,0,0,0,0.327428498,0,155.24
34,-23,83,2050,0,0,0.672571502,0,0,0,0,0.327428498,0,155.24
35,-21,83,2000,0,0,0.503453569,0,0,0,0,0.496546431,0,13.03
35,-21,83,2010,0,0,0.503453569,0,0,0,0,0.496546431,0,13.03
35,-21,83,2020,0,0,0.503453569,0,0,0,0,0.496546431,0,13.03
35,-21,83,2030,0,0,0.503453569,0,0,0,0,0.496546431,0,13.03
35,-21,83,2040,0,0,0.503453569,0,0,0,0,0.496546431,0,13.03
