Model,Scenario,Region,Variable,Year,Unit,Value
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|RLI,2005,unitless,0.96059379217274
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|RLI,2005,unitless,0.953284671532847
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|RLI,2005,unitless,0.965151515151515
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|RLI,2005,unitless,0.976759410801964
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|RLI,2005,unitless,0.948611111111111
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|RLI,2005,unitless,0.92
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|RLI,2005,unitless,0.917110266159696
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|RLI,2005,unitless,0.970321151716501
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|RLI,2005,unitless,0.951224944320713
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|RLI,2005,unitless,0.964590964590965
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|RLI,2005,unitless,0.957087583538516
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|RLI,2005,unitless,0.933812949640288
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|RLI,2010,unitless,0.927756653992395
AIM,SSP1p_20W_SPA1_BI3G,EUE,Biodiversity|RLI,2010,unitless,0.97410071942446
AIM,SSP1p_20W_SPA1_BI3G,OAM,Biodiversity|RLI,2010,unitless,0.967884828349945
AIM,SSP1p_20W_SPA1_BI3G,AME,Biodiversity|RLI,2010,unitless,0.95011135857461
AIM,SSP1p_20W_SPA1_BI3G,SAS,Biodiversity|RLI,2010,unitless,0.970695970695971
AIM,SSP1p_20W_SPA1_BI3G,WLD,Biodiversity|RLI,2010,unitless,0.962574744987689
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|RLI,2010,unitless,0.954925775978408
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|RLI,2010,unitless,0.979378068739771
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|RLI,2010,unitless,0.913513513513514
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|RLI,2010,unitless,0.968369829683698
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|RLI,2010,unitless,0.954545454545455
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|RLI,2010,unitless,0.938194444444444
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|RLI,2010,unitless,0.894420600858369
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|RLI,2010,unitless,0.963979848866499
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|RLI,2010,unitless,0.907692307692308
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|RLI,2010,unitless,0.975
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|RLI,2010,unitless,0.922007722007722
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|RLI,2010,unitless,0.979574468085106
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|RLI,2010,unitless,0.973770491803279
AIM,SSP1p_20W_SPA1_BI3G,CAN,Biodiversity|RLI,2020,unitless,0.975409836065574
AIM,SSP1p_20W_SPA1_BI3G,USA,Biodiversity|RLI,2020,unitless,0.91042471042471
AIM,SSP1p_20W_SPA1_BI3G,BRA,Biodiversity|RLI,2020,unitless,0.975744680851064
AIM,SSP1p_20W_SPA1_BI3G,OSA,Biodiversity|RLI,2020,unitless,0.96272040302267
AIM,SSP1p_20W_SPA1_BI3G,FSU,Biodiversity|RLI,2020,unitless,0.911705685618729
AIM,SSP1p_20W_SPA1_BI3G,EUR,Biodiversity|RLI,2020,unitless,0.979166666666667
AIM,SSP1p_20W_SPA1_BI3G,MEN,Biodiversity|RLI,2020,unitless,0.895278969957082
AIM,SSP1p_20W_SPA1_BI3G,SSA,Biodiversity|RLI,2020,unitless,0.940350877192982
AIM,SSP1p_20W_SPA1_BI3G,CHN,Biodiversity|RLI,2020,unitless,0.969829683698297
AIM,SSP1p_20W_SPA1_BI3G,IND,Biodiversity|RLI,2020,unitless,0.942424242424242
AIM,SSP1p_20W_SPA1_BI3G,SEA,Biodiversity|RLI,2020,unitless,0.979050736497545
AIM,SSP1p_20W_SPA1_BI3G,OAS,Biodiversity|RLI,2020,unitless,0.946527777777778
AIM,SSP1p_20W_SPA1_BI3G,ANZ,Biodiversity|RLI,2020,unitless,0.91027027027027
AIM,SSP1p_20W_SPA1_BI3G,NAM,Biodiversity|RLI,2020,unitless,0.918631178707224
