*file,reg,variable,year,val
SSP1p_20W_BIOD2,WLD,NSpeciesExtinctAtFirstYear,2020,110
SSP1p_20W_BIOD2,EUE,NSpeciesExtinctAtFirstYear,2020,7
SSP1p_20W_BIOD2,CAN,NPotSpeciesInRegion,2020,122
SSP1p_20W_BIOD2,USA,NPotSpeciesInRegion,2020,259
SSP1p_20W_BIOD2,BRA,NPotSpeciesInRegion,2020,470
SSP1p_20W_BIOD2,OSA,NPotSpeciesInRegion,2020,794
SSP1p_20W_BIOD2,FSU,NPotSpeciesInRegion,2020,299
SSP1p_20W_BIOD2,EUR,NPotSpeciesInRegion,2020,144
SSP1p_20W_BIOD2,MEN,NPotSpeciesInRegion,2020,233
SSP1p_20W_BIOD2,SSA,NPotSpeciesInRegion,2020,741
SSP1p_20W_BIOD2,CHN,NPotSpeciesInRegion,2020,411
SSP1p_20W_BIOD2,IND,NPotSpeciesInRegion,2020,264
SSP1p_20W_BIOD2,SEA,NPotSpeciesInRegion,2020,611
SSP1p_20W_BIOD2,OAS,NPotSpeciesInRegion,2020,288
SSP1p_20W_BIOD2,ANZ,NPotSpeciesInRegion,2020,185
SSP1p_20W_BIOD2,NAM,NPotSpeciesInRegion,2020,263
SSP1p_20W_BIOD2,OAM,NPotSpeciesInRegion,2020,903
SSP1p_20W_BIOD2,AME,NPotSpeciesInRegion,2020,898
SSP1p_20W_BIOD2,SAS,NPotSpeciesInRegion,2020,819
SSP1p_20W_BIOD2,WLD,NPotSpeciesInRegion,2020,2843
SSP1p_20W_BIOD2,EUE,NPotSpeciesInRegion,2020,139
SSP1p_20W_BIOD2,CAN,ESHI,2030,0.980539298
SSP1p_20W_BIOD2,USA,ESHI,2030,1.277016049
SSP1p_20W_BIOD2,BRA,ESHI,2030,0.951919927
SSP1p_20W_BIOD2,OSA,ESHI,2030,1.005748317
SSP1p_20W_BIOD2,FSU,ESHI,2030,0.860768245
SSP1p_20W_BIOD2,EUR,ESHI,2030,1.031293373
SSP1p_20W_BIOD2,MEN,ESHI,2030,1.026145314
SSP1p_20W_BIOD2,SSA,ESHI,2030,0.980294842
SSP1p_20W_BIOD2,CHN,ESHI,2030,1.280182023
SSP1p_20W_BIOD2,IND,ESHI,2030,0.960532738
